15	21	1	0	0	0	0	0	0
18	95	6	0	0	2	0	0	0
1	6	15	0	0	0	0	0	0
12	24	0	0	0	0	0	0	0
95	132	0	0	0	0	0	0	0
30	0	0	0	2	18	0	0	0
18	0	0	0	0	0	0	0	0
31	0	0	0	0	0	0	0	0
9	19	0	0	0	0	0	0	0
36	0	0	0	0	0	0	0	0
1	22	60	0	0	0	0	0	0
65	0	0	0	0	0	0	0	0
14	68	18	1	0	0	0	0	0
23	0	0	0	0	0	0	0	0
53	26	0	0	0	0	0	0	0
107	137	95	0	0	0	1	5	1
6	5	15	0	0	0	0	0	0
44	32	198	41	23	0	8	2	0
7	0	0	0	0	0	0	0	0
5	0	0	0	0	0	0	0	0
1	0	0	0	0	26	0	0	0
6	33	2	0	1	6	30	0	0
50	0	0	0	0	0	0	0	0
2	0	14	0	0	0	16	0	0
62	0	0	0	14	0	0	0	0
22	0	0	0	0	0	0	0	0
36	0	0	0	0	0	0	0	0
4	18	0	0	0	0	0	0	0
15	0	0	0	0	0	0	0	0
5	1	4	0	0	0	0	0	0
36	0	2	0	0	0	0	0	0
11	0	0	0	0	0	0	0	0
31	0	0	0	0	0	0	0	0
20	0	1	0	0	0	0	0	0
1	1	53	1	10	0	1	0	0
0	2	0	0	0	0	1	0	0
17	1	0	0	1	0	0	0	0
35	0	0	0	0	0	0	0	0
7	0	0	0	9	0	0	0	0
4	0	0	0	0	0	0	0	0
22	1	0	0	0	0	0	0	0
4	0	0	0	0	0	0	0	0
7	0	0	0	0	0	0	0	0
0	74	102	4	0	0	0	5	0
1	0	0	0	0	0	0	0	0
2	12	2	0	1	1	0	0	0
2	4	1	0	0	0	0	0	0
1	3	1	0	0	1	0	0	0
16	0	0	0	0	0	0	0	0
17	0	0	0	0	0	0	0	0
22	0	0	0	0	0	0	0	0
9	0	0	0	0	0	0	0	0
24	0	0	0	0	0	0	0	0
20	0	0	0	0	0	0	0	0
55	77	0	0	0	0	0	0	0
